Number,Product Name,Category,Unit,Purchase Price,Selling Price,Quantity,Minimum Stock,Total,Status,Notes
1,شاي,مواد غذائية,كيس,1486.49,2500.0,37.0,5.0,55000.13,متوفر,مستورد من الجرد الافتتاحي
2,سكر صغير,مواد غذائية,كيس,6857.14,7500.0,14.0,5.0,95999.96,متوفر,مستورد من الجرد الافتتاحي
3,قهوة,مواد غذائية,كيس,3705.88,4500.0,17.0,5.0,62999.96,متوفر,مستورد من الجرد الافتتاحي
4,زيت,مواد غذائية,لتر,373.91,4500.0,23.0,5.0,8599.93,متوفر,مستورد من الجرد الافتتاحي
5,أرز,مواد غذائية,كيس,3700.0,5000.0,20.0,5.0,74000.0,متوفر,مستورد من الجرد الافتتاحي
6,معجون طماطم,مواد غذائية,كيس,11000.0,12000.0,9.0,5.0,99000.0,متوفر,مستورد من الجرد الافتتاحي
7,حليب,مواد غذائية,لتر,1666.67,1700.0,30.0,5.0,50000.1,متوفر,مستورد من الجرد الافتتاحي
8,بيض,مواد غذائية,كرتونة,11000.0,12000.0,1.0,5.0,11000.0,منخفض,مستورد من الجرد الافتتاحي
9,سمنة,مواد غذائية,علبة,3125.0,5000.0,8.0,5.0,25000.0,متوفر,مستورد من الجرد الافتتاحي
10,مياه معدنية,مواد غذائية,زجاجة,578.95,750.0,95.0,5.0,55000.25,متوفر,مستورد من الجرد الافتتاحي
11,شاي ليب,مواد غذائية,كيس,3000.0,3500.0,6.0,5.0,18000.0,متوفر,مستورد من الجرد الافتتاحي
12,سكر كبير,مواد غذائية,كيس,4384.62,0.0,13.0,5.0,56999.99999999999,متوفر,مستورد من الجرد الافتتاحي
13,بيض كبير,مواد غذائية,كرتونة,750.0,0.0,24.0,5.0,18000.0,متوفر,مستورد من الجرد الافتتاحي
14,سكر,مواد غذائية,كيس,1806.45,2000.0,31.0,5.0,56000.0,متوفر,مستورد من الجرد الافتتاحي
15,بيض صغير,مواد غذائية,كرتونة,1571.43,2500.0,7.0,5.0,11000.0,متوفر,مستورد من الجرد الافتتاحي
16,سمنة صغيرة,مواد غذائية,علبة,1538.46,2500.0,13.0,5.0,20000.0,متوفر,مستورد من الجرد الافتتاحي
