رقم,اسم المنتج,سعر الدراوج,سعر البيوع,الكمية,الإجمالي
1,شاي,1486.49,2500,37,55000
2,سكر صغير,6857.14,7500,14,96000
3,قهوة,3705.88,4500,17,63000
4,زيت,373.91,4500,23,8600
5,أرز,3700,5000,20,74000
6,معجون طماطم,11000,12000,9,99000
7,حليب,1666.67,1700,30,50000
8,بيض,11000,12000,1,11000
9,سمنة,3125,5000,8,25000
10,مياه معدنية,578.95,750,95,55000
11,شاي ليب,3000,3500,6,18000
12,سكر كبير,4384.62,,13,57000
13,بيض كبير,750,,24,18000
14,سكر,1806.45,2000,31,56000
15,بيض صغير,1571.43,2500,7,11000
16,سمنة صغيرة,1538.46,2500,13,20000
17,زيت صغير,1800,,10,18000
18,معجون,3333.33,5000,6,20000
19,أرز كبير,32000,,1,32000
20,أرز مصري,3000,5000,24,72000
21,سمنة مصري,2000,3000,3,6000
22,قهوة صغيرة,666.67,1000,36,24000
23,زيت كبير,24000,,1,24000
24,حليب صغير,1166.67,2000,24,28000
25,شاي كبير,722.22,,18,13000
26,قهوة كبيرة,6454.55,7000,11,71000
27,سكر ناعم,84.21,,38,3200
28,معجون صغير,750,1000,24,18000
29,حليب كبير,750,1500,24,18000
30,زيت ناعم,1837.21,2500,43,79000
31,أرز ناعم,3166.67,,12,38000
32,سمنة ناعم,813.95,1500,43,35000
33,معجون كبير,44666.67,,1.5,67000
34,قهوة ناعم,1000,1500,32,32000
35,بيض ناعم,1745.10,2000,51,89000
36,شاي ناعم,33000,,1,33000
37,زيت ناعم كبير,112000,,0.25,28000
38,حليب ناعم,5500,6000,10,55000
39,سكر ناعم كبير,7214.29,8000,14,101000
40,معجون ناعم,2777.78,3500,18,50000
41,أرز ناعم صغير,8000,8000,1.5,12000
42,شاي ناعم صغير,1461.54,2000,13,19000
43,زيت ناعم صغير,9000,12000,2,18000
44,بيض ناعم صغير,17000,,1,17000
45,حليب ناعم صغير,1083.33,1200,24,26000
46,سمنة ناعم صغير,11000,,1,11000
